log_output,issue_category
make: *** [all] Error 2 [process ID: 774],Build failure
vulnerability found in package [process ID: 893],Security issue
gitleaks: secret detected [process ID: 236],Security issue
Kubernetes pod crashloopbackoff [process ID: 196],Deployment error
syntax error in file [process ID: 472],Build failure
make: *** [all] Error 2 [process ID: 103],Build failure
version conflict for package [process ID: 905],Dependency issue
timeout waiting for service [process ID: 294],Deployment error
npm ERR! missing dependency [process ID: 427],Dependency issue
ModuleNotFoundError [process ID: 611],Dependency issue
pip install failed [process ID: 139],Dependency issue
cannot compile module [process ID: 869],Build failure
unauthorized access token [process ID: 518],Security issue
CORS policy violation [process ID: 148],Security issue
AWS credential invalid [process ID: 410],Deployment error
cannot compile module [process ID: 642],Build failure
pip install failed [process ID: 185],Dependency issue
0 vulnerabilities [process ID: 158],Success
version conflict for package [process ID: 585],Dependency issue
pip install failed [process ID: 630],Dependency issue
Jest failed with 1 failing test [process ID: 980],Test failure
Kubernetes pod crashloopbackoff [process ID: 573],Deployment error
build successful [process ID: 774],Success
Expected true but got false [process ID: 562],Test failure
build successful [process ID: 632],Success
npm ERR! missing dependency [process ID: 271],Dependency issue
dockerfile build error [process ID: 905],Configuration error
syntax error in file [process ID: 350],Build failure
invalid configuration file [process ID: 177],Configuration error
version conflict for package [process ID: 572],Dependency issue
build successful [process ID: 636],Success
0 vulnerabilities [process ID: 475],Success
unauthorized access token [process ID: 894],Security issue
CORS policy violation [process ID: 357],Security issue
dockerfile build error [process ID: 890],Configuration error
deployed successfully [process ID: 303],Success
CORS policy violation [process ID: 873],Security issue
Expected true but got false [process ID: 428],Test failure
CORS policy violation [process ID: 318],Security issue
syntax error in file [process ID: 751],Build failure
gitleaks: secret detected [process ID: 640],Security issue
failed to pull docker image [process ID: 753],Deployment error
npm ERR! missing dependency [process ID: 220],Dependency issue
0 vulnerabilities [process ID: 159],Success
invalid configuration file [process ID: 796],Configuration error
Expected true but got false [process ID: 379],Test failure
Test suite failed [process ID: 317],Test failure
CORS policy violation [process ID: 839],Security issue
Expected true but got false [process ID: 629],Test failure
AWS credential invalid [process ID: 765],Deployment error
CORS policy violation [process ID: 759],Security issue
YAML syntax error [process ID: 963],Configuration error
Expected true but got false [process ID: 539],Test failure
vulnerability found in package [process ID: 139],Security issue
Expected true but got false [process ID: 928],Test failure
gitleaks: secret detected [process ID: 747],Security issue
ModuleNotFoundError [process ID: 615],Dependency issue
invalid configuration file [process ID: 697],Configuration error
npm ERR! missing dependency [process ID: 157],Dependency issue
ModuleNotFoundError [process ID: 478],Dependency issue
invalid configuration file [process ID: 348],Configuration error
0 vulnerabilities [process ID: 778],Success
fatal error: file not found [process ID: 737],Build failure
syntax error in file [process ID: 197],Build failure
deployed successfully [process ID: 524],Success
Test suite failed [process ID: 859],Test failure
all tests passed [process ID: 419],Success
env variable missing [process ID: 484],Configuration error
npm ERR! missing dependency [process ID: 109],Dependency issue
unauthorized access token [process ID: 236],Security issue
build successful [process ID: 201],Success
deployed successfully [process ID: 247],Success
fatal error: file not found [process ID: 793],Build failure
deployed successfully [process ID: 531],Success
ModuleNotFoundError [process ID: 137],Dependency issue
all tests passed [process ID: 640],Success
failed to pull docker image [process ID: 429],Deployment error
npm ERR! missing dependency [process ID: 188],Dependency issue
Expected true but got false [process ID: 713],Test failure
YAML syntax error [process ID: 399],Configuration error
unauthorized access token [process ID: 288],Security issue
env variable missing [process ID: 932],Configuration error
0 vulnerabilities [process ID: 234],Success
failed to pull docker image [process ID: 971],Deployment error
syntax error in file [process ID: 398],Build failure
deployed successfully [process ID: 208],Success
version conflict for package [process ID: 878],Dependency issue
unauthorized access token [process ID: 625],Security issue
Kubernetes pod crashloopbackoff [process ID: 158],Deployment error
build successful [process ID: 274],Success
YAML syntax error [process ID: 348],Configuration error
timeout waiting for service [process ID: 262],Deployment error
ModuleNotFoundError [process ID: 231],Dependency issue
Jest failed with 1 failing test [process ID: 274],Test failure
timeout waiting for service [process ID: 277],Deployment error
env variable missing [process ID: 550],Configuration error
env variable missing [process ID: 881],Configuration error
unauthorized access token [process ID: 528],Security issue
cannot compile module [process ID: 614],Build failure
dockerfile build error [process ID: 544],Configuration error
gitleaks: secret detected [process ID: 424],Security issue
AssertionError: expected 5 to equal 4 [process ID: 466],Test failure
ModuleNotFoundError [process ID: 446],Dependency issue
vulnerability found in package [process ID: 815],Security issue
failed to pull docker image [process ID: 194],Deployment error
failed to pull docker image [process ID: 471],Deployment error
deployed successfully [process ID: 563],Success
0 vulnerabilities [process ID: 277],Success
deployed successfully [process ID: 979],Success
pip install failed [process ID: 609],Dependency issue
make: *** [all] Error 2 [process ID: 657],Build failure
all tests passed [process ID: 602],Success
AWS credential invalid [process ID: 317],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 331],Test failure
vulnerability found in package [process ID: 336],Security issue
YAML syntax error [process ID: 626],Configuration error
timeout waiting for service [process ID: 469],Deployment error
dockerfile build error [process ID: 281],Configuration error
gitleaks: secret detected [process ID: 674],Security issue
make: *** [all] Error 2 [process ID: 652],Build failure
syntax error in file [process ID: 578],Build failure
build successful [process ID: 822],Success
cannot compile module [process ID: 573],Build failure
Jest failed with 1 failing test [process ID: 884],Test failure
Test suite failed [process ID: 437],Test failure
Jest failed with 1 failing test [process ID: 616],Test failure
Expected true but got false [process ID: 885],Test failure
make: *** [all] Error 2 [process ID: 178],Build failure
ModuleNotFoundError [process ID: 471],Dependency issue
pip install failed [process ID: 644],Dependency issue
CORS policy violation [process ID: 675],Security issue
0 vulnerabilities [process ID: 726],Success
fatal error: file not found [process ID: 780],Build failure
CORS policy violation [process ID: 578],Security issue
timeout waiting for service [process ID: 762],Deployment error
Jest failed with 1 failing test [process ID: 415],Test failure
timeout waiting for service [process ID: 785],Deployment error
CORS policy violation [process ID: 234],Security issue
Test suite failed [process ID: 539],Test failure
Test suite failed [process ID: 274],Test failure
version conflict for package [process ID: 255],Dependency issue
Jest failed with 1 failing test [process ID: 278],Test failure
vulnerability found in package [process ID: 764],Security issue
all tests passed [process ID: 950],Success
timeout waiting for service [process ID: 681],Deployment error
ModuleNotFoundError [process ID: 279],Dependency issue
YAML syntax error [process ID: 468],Configuration error
deployed successfully [process ID: 834],Success
cannot compile module [process ID: 339],Build failure
deployed successfully [process ID: 470],Success
ModuleNotFoundError [process ID: 525],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 955],Deployment error
0 vulnerabilities [process ID: 678],Success
AssertionError: expected 5 to equal 4 [process ID: 312],Test failure
vulnerability found in package [process ID: 218],Security issue
failed to pull docker image [process ID: 163],Deployment error
AWS credential invalid [process ID: 306],Deployment error
Jest failed with 1 failing test [process ID: 324],Test failure
Kubernetes pod crashloopbackoff [process ID: 925],Deployment error
invalid configuration file [process ID: 997],Configuration error
vulnerability found in package [process ID: 100],Security issue
fatal error: file not found [process ID: 857],Build failure
AWS credential invalid [process ID: 529],Deployment error
invalid configuration file [process ID: 786],Configuration error
YAML syntax error [process ID: 996],Configuration error
Test suite failed [process ID: 776],Test failure
failed to pull docker image [process ID: 910],Deployment error
build successful [process ID: 608],Success
fatal error: file not found [process ID: 486],Build failure
gitleaks: secret detected [process ID: 768],Security issue
vulnerability found in package [process ID: 235],Security issue
Jest failed with 1 failing test [process ID: 151],Test failure
fatal error: file not found [process ID: 316],Build failure
invalid configuration file [process ID: 798],Configuration error
unauthorized access token [process ID: 337],Security issue
npm ERR! missing dependency [process ID: 370],Dependency issue
AWS credential invalid [process ID: 481],Deployment error
failed to pull docker image [process ID: 260],Deployment error
Kubernetes pod crashloopbackoff [process ID: 252],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 343],Test failure
build successful [process ID: 663],Success
vulnerability found in package [process ID: 443],Security issue
npm ERR! missing dependency [process ID: 112],Dependency issue
deployed successfully [process ID: 631],Success
Test suite failed [process ID: 410],Test failure
ModuleNotFoundError [process ID: 714],Dependency issue
env variable missing [process ID: 273],Configuration error
timeout waiting for service [process ID: 313],Deployment error
Test suite failed [process ID: 880],Test failure
CORS policy violation [process ID: 749],Security issue
pip install failed [process ID: 352],Dependency issue
Jest failed with 1 failing test [process ID: 885],Test failure
dockerfile build error [process ID: 893],Configuration error
make: *** [all] Error 2 [process ID: 761],Build failure
env variable missing [process ID: 615],Configuration error
build successful [process ID: 248],Success
build successful [process ID: 938],Success
unauthorized access token [process ID: 330],Security issue
failed to pull docker image [process ID: 611],Deployment error
Jest failed with 1 failing test [process ID: 625],Test failure
vulnerability found in package [process ID: 747],Security issue
build successful [process ID: 889],Success
Jest failed with 1 failing test [process ID: 650],Test failure
ModuleNotFoundError [process ID: 121],Dependency issue
pip install failed [process ID: 896],Dependency issue
invalid configuration file [process ID: 713],Configuration error
version conflict for package [process ID: 595],Dependency issue
pip install failed [process ID: 408],Dependency issue
gitleaks: secret detected [process ID: 436],Security issue
failed to pull docker image [process ID: 374],Deployment error
vulnerability found in package [process ID: 458],Security issue
CORS policy violation [process ID: 249],Security issue
failed to pull docker image [process ID: 969],Deployment error
AWS credential invalid [process ID: 940],Deployment error
timeout waiting for service [process ID: 621],Deployment error
unauthorized access token [process ID: 208],Security issue
vulnerability found in package [process ID: 601],Security issue
Kubernetes pod crashloopbackoff [process ID: 376],Deployment error
vulnerability found in package [process ID: 827],Security issue
AssertionError: expected 5 to equal 4 [process ID: 379],Test failure
Jest failed with 1 failing test [process ID: 841],Test failure
npm ERR! missing dependency [process ID: 430],Dependency issue
vulnerability found in package [process ID: 910],Security issue
CORS policy violation [process ID: 319],Security issue
deployed successfully [process ID: 121],Success
AssertionError: expected 5 to equal 4 [process ID: 208],Test failure
make: *** [all] Error 2 [process ID: 973],Build failure
vulnerability found in package [process ID: 817],Security issue
AWS credential invalid [process ID: 637],Deployment error
CORS policy violation [process ID: 485],Security issue
cannot compile module [process ID: 800],Build failure
gitleaks: secret detected [process ID: 402],Security issue
npm ERR! missing dependency [process ID: 438],Dependency issue
pip install failed [process ID: 631],Dependency issue
Expected true but got false [process ID: 753],Test failure
version conflict for package [process ID: 640],Dependency issue
Jest failed with 1 failing test [process ID: 611],Test failure
Jest failed with 1 failing test [process ID: 878],Test failure
CORS policy violation [process ID: 839],Security issue
deployed successfully [process ID: 716],Success
deployed successfully [process ID: 736],Success
AssertionError: expected 5 to equal 4 [process ID: 902],Test failure
Kubernetes pod crashloopbackoff [process ID: 686],Deployment error
unauthorized access token [process ID: 227],Security issue
dockerfile build error [process ID: 647],Configuration error
Jest failed with 1 failing test [process ID: 694],Test failure
env variable missing [process ID: 883],Configuration error
build successful [process ID: 921],Success
npm ERR! missing dependency [process ID: 240],Dependency issue
syntax error in file [process ID: 629],Build failure
cannot compile module [process ID: 191],Build failure
timeout waiting for service [process ID: 535],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 259],Test failure
unauthorized access token [process ID: 217],Security issue
dockerfile build error [process ID: 815],Configuration error
gitleaks: secret detected [process ID: 199],Security issue
CORS policy violation [process ID: 595],Security issue
AssertionError: expected 5 to equal 4 [process ID: 927],Test failure
timeout waiting for service [process ID: 358],Deployment error
ModuleNotFoundError [process ID: 325],Dependency issue
dockerfile build error [process ID: 977],Configuration error
Kubernetes pod crashloopbackoff [process ID: 418],Deployment error
fatal error: file not found [process ID: 278],Build failure
dockerfile build error [process ID: 673],Configuration error
invalid configuration file [process ID: 619],Configuration error
dockerfile build error [process ID: 453],Configuration error
AssertionError: expected 5 to equal 4 [process ID: 845],Test failure
AssertionError: expected 5 to equal 4 [process ID: 679],Test failure
cannot compile module [process ID: 434],Build failure
env variable missing [process ID: 320],Configuration error
gitleaks: secret detected [process ID: 933],Security issue
gitleaks: secret detected [process ID: 462],Security issue
vulnerability found in package [process ID: 946],Security issue
AWS credential invalid [process ID: 863],Deployment error
failed to pull docker image [process ID: 556],Deployment error
timeout waiting for service [process ID: 305],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 227],Test failure
Expected true but got false [process ID: 527],Test failure
dockerfile build error [process ID: 246],Configuration error
build successful [process ID: 360],Success
build successful [process ID: 125],Success
version conflict for package [process ID: 357],Dependency issue
CORS policy violation [process ID: 321],Security issue
Jest failed with 1 failing test [process ID: 912],Test failure
gitleaks: secret detected [process ID: 379],Security issue
Kubernetes pod crashloopbackoff [process ID: 197],Deployment error
invalid configuration file [process ID: 739],Configuration error
invalid configuration file [process ID: 707],Configuration error
npm ERR! missing dependency [process ID: 169],Dependency issue
dockerfile build error [process ID: 455],Configuration error
all tests passed [process ID: 114],Success
Jest failed with 1 failing test [process ID: 510],Test failure
build successful [process ID: 616],Success
ModuleNotFoundError [process ID: 654],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 368],Test failure
make: *** [all] Error 2 [process ID: 885],Build failure
vulnerability found in package [process ID: 663],Security issue
version conflict for package [process ID: 737],Dependency issue
vulnerability found in package [process ID: 946],Security issue
Test suite failed [process ID: 507],Test failure
gitleaks: secret detected [process ID: 753],Security issue
npm ERR! missing dependency [process ID: 575],Dependency issue
make: *** [all] Error 2 [process ID: 681],Build failure
version conflict for package [process ID: 423],Dependency issue
CORS policy violation [process ID: 166],Security issue
deployed successfully [process ID: 286],Success
Test suite failed [process ID: 945],Test failure
dockerfile build error [process ID: 389],Configuration error
pip install failed [process ID: 336],Dependency issue
Test suite failed [process ID: 267],Test failure
AWS credential invalid [process ID: 767],Deployment error
cannot compile module [process ID: 810],Build failure
version conflict for package [process ID: 666],Dependency issue
version conflict for package [process ID: 518],Dependency issue
version conflict for package [process ID: 617],Dependency issue
YAML syntax error [process ID: 185],Configuration error
ModuleNotFoundError [process ID: 174],Dependency issue
build successful [process ID: 172],Success
deployed successfully [process ID: 400],Success
Kubernetes pod crashloopbackoff [process ID: 203],Deployment error
version conflict for package [process ID: 439],Dependency issue
deployed successfully [process ID: 722],Success
syntax error in file [process ID: 664],Build failure
CORS policy violation [process ID: 826],Security issue
Test suite failed [process ID: 242],Test failure
version conflict for package [process ID: 152],Dependency issue
env variable missing [process ID: 143],Configuration error
deployed successfully [process ID: 829],Success
syntax error in file [process ID: 100],Build failure
unauthorized access token [process ID: 885],Security issue
Test suite failed [process ID: 758],Test failure
deployed successfully [process ID: 846],Success
cannot compile module [process ID: 173],Build failure
timeout waiting for service [process ID: 702],Deployment error
build successful [process ID: 307],Success
version conflict for package [process ID: 411],Dependency issue
syntax error in file [process ID: 661],Build failure
deployed successfully [process ID: 739],Success
ModuleNotFoundError [process ID: 934],Dependency issue
npm ERR! missing dependency [process ID: 713],Dependency issue
fatal error: file not found [process ID: 607],Build failure
fatal error: file not found [process ID: 694],Build failure
deployed successfully [process ID: 207],Success
build successful [process ID: 153],Success
deployed successfully [process ID: 178],Success
all tests passed [process ID: 724],Success
build successful [process ID: 558],Success
env variable missing [process ID: 930],Configuration error
CORS policy violation [process ID: 657],Security issue
AWS credential invalid [process ID: 462],Deployment error
YAML syntax error [process ID: 937],Configuration error
Expected true but got false [process ID: 773],Test failure
Test suite failed [process ID: 338],Test failure
make: *** [all] Error 2 [process ID: 986],Build failure
AWS credential invalid [process ID: 708],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 571],Test failure
Kubernetes pod crashloopbackoff [process ID: 687],Deployment error
version conflict for package [process ID: 576],Dependency issue
fatal error: file not found [process ID: 340],Build failure
pip install failed [process ID: 620],Dependency issue
cannot compile module [process ID: 185],Build failure
npm ERR! missing dependency [process ID: 195],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 387],Test failure
version conflict for package [process ID: 993],Dependency issue
pip install failed [process ID: 767],Dependency issue
failed to pull docker image [process ID: 474],Deployment error
deployed successfully [process ID: 498],Success
AWS credential invalid [process ID: 687],Deployment error
Kubernetes pod crashloopbackoff [process ID: 609],Deployment error
invalid configuration file [process ID: 746],Configuration error
ModuleNotFoundError [process ID: 393],Dependency issue
env variable missing [process ID: 629],Configuration error
CORS policy violation [process ID: 249],Security issue
timeout waiting for service [process ID: 156],Deployment error
fatal error: file not found [process ID: 261],Build failure
ModuleNotFoundError [process ID: 146],Dependency issue
env variable missing [process ID: 652],Configuration error
build successful [process ID: 772],Success
unauthorized access token [process ID: 169],Security issue
env variable missing [process ID: 747],Configuration error
env variable missing [process ID: 576],Configuration error
version conflict for package [process ID: 867],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 334],Deployment error
ModuleNotFoundError [process ID: 104],Dependency issue
ModuleNotFoundError [process ID: 149],Dependency issue
fatal error: file not found [process ID: 970],Build failure
syntax error in file [process ID: 740],Build failure
fatal error: file not found [process ID: 356],Build failure
Kubernetes pod crashloopbackoff [process ID: 679],Deployment error
unauthorized access token [process ID: 731],Security issue
make: *** [all] Error 2 [process ID: 617],Build failure
CORS policy violation [process ID: 452],Security issue
gitleaks: secret detected [process ID: 833],Security issue
Test suite failed [process ID: 234],Test failure
AWS credential invalid [process ID: 437],Deployment error
env variable missing [process ID: 164],Configuration error
Test suite failed [process ID: 618],Test failure
Jest failed with 1 failing test [process ID: 540],Test failure
CORS policy violation [process ID: 167],Security issue
deployed successfully [process ID: 584],Success
ModuleNotFoundError [process ID: 958],Dependency issue
failed to pull docker image [process ID: 397],Deployment error
unauthorized access token [process ID: 924],Security issue
deployed successfully [process ID: 823],Success
timeout waiting for service [process ID: 314],Deployment error
AWS credential invalid [process ID: 883],Deployment error
Jest failed with 1 failing test [process ID: 229],Test failure
timeout waiting for service [process ID: 150],Deployment error
Kubernetes pod crashloopbackoff [process ID: 255],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 106],Test failure
all tests passed [process ID: 857],Success
all tests passed [process ID: 508],Success
pip install failed [process ID: 760],Dependency issue
CORS policy violation [process ID: 570],Security issue
version conflict for package [process ID: 948],Dependency issue
AWS credential invalid [process ID: 998],Deployment error
unauthorized access token [process ID: 933],Security issue
AssertionError: expected 5 to equal 4 [process ID: 936],Test failure
invalid configuration file [process ID: 901],Configuration error
unauthorized access token [process ID: 272],Security issue
AssertionError: expected 5 to equal 4 [process ID: 597],Test failure
AssertionError: expected 5 to equal 4 [process ID: 252],Test failure
AssertionError: expected 5 to equal 4 [process ID: 327],Test failure
Test suite failed [process ID: 295],Test failure
AWS credential invalid [process ID: 169],Deployment error
timeout waiting for service [process ID: 456],Deployment error
fatal error: file not found [process ID: 687],Build failure
all tests passed [process ID: 539],Success
npm ERR! missing dependency [process ID: 894],Dependency issue
make: *** [all] Error 2 [process ID: 991],Build failure
Expected true but got false [process ID: 680],Test failure
timeout waiting for service [process ID: 726],Deployment error
npm ERR! missing dependency [process ID: 358],Dependency issue
npm ERR! missing dependency [process ID: 530],Dependency issue
Expected true but got false [process ID: 896],Test failure
cannot compile module [process ID: 206],Build failure
all tests passed [process ID: 287],Success
CORS policy violation [process ID: 101],Security issue
all tests passed [process ID: 880],Success
deployed successfully [process ID: 762],Success
env variable missing [process ID: 190],Configuration error
0 vulnerabilities [process ID: 631],Success
YAML syntax error [process ID: 773],Configuration error
AssertionError: expected 5 to equal 4 [process ID: 397],Test failure
Test suite failed [process ID: 296],Test failure
deployed successfully [process ID: 194],Success
pip install failed [process ID: 773],Dependency issue
timeout waiting for service [process ID: 378],Deployment error
invalid configuration file [process ID: 187],Configuration error
Jest failed with 1 failing test [process ID: 641],Test failure
timeout waiting for service [process ID: 316],Deployment error
invalid configuration file [process ID: 697],Configuration error
Kubernetes pod crashloopbackoff [process ID: 668],Deployment error
Jest failed with 1 failing test [process ID: 898],Test failure
build successful [process ID: 804],Success
dockerfile build error [process ID: 222],Configuration error
vulnerability found in package [process ID: 173],Security issue
pip install failed [process ID: 296],Dependency issue
Expected true but got false [process ID: 476],Test failure
cannot compile module [process ID: 440],Build failure
Kubernetes pod crashloopbackoff [process ID: 483],Deployment error
Kubernetes pod crashloopbackoff [process ID: 751],Deployment error
all tests passed [process ID: 799],Success
AssertionError: expected 5 to equal 4 [process ID: 877],Test failure
AWS credential invalid [process ID: 930],Deployment error
invalid configuration file [process ID: 214],Configuration error
gitleaks: secret detected [process ID: 192],Security issue
invalid configuration file [process ID: 786],Configuration error
make: *** [all] Error 2 [process ID: 970],Build failure
all tests passed [process ID: 621],Success
Test suite failed [process ID: 942],Test failure
make: *** [all] Error 2 [process ID: 650],Build failure
CORS policy violation [process ID: 458],Security issue
YAML syntax error [process ID: 494],Configuration error
cannot compile module [process ID: 990],Build failure
CORS policy violation [process ID: 469],Security issue
invalid configuration file [process ID: 738],Configuration error
gitleaks: secret detected [process ID: 114],Security issue
ModuleNotFoundError [process ID: 630],Dependency issue
npm ERR! missing dependency [process ID: 107],Dependency issue
npm ERR! missing dependency [process ID: 595],Dependency issue
Test suite failed [process ID: 872],Test failure
cannot compile module [process ID: 709],Build failure
vulnerability found in package [process ID: 531],Security issue
Test suite failed [process ID: 394],Test failure
CORS policy violation [process ID: 749],Security issue
invalid configuration file [process ID: 890],Configuration error
syntax error in file [process ID: 361],Build failure
dockerfile build error [process ID: 553],Configuration error
Expected true but got false [process ID: 367],Test failure
fatal error: file not found [process ID: 472],Build failure
build successful [process ID: 533],Success
invalid configuration file [process ID: 821],Configuration error
Kubernetes pod crashloopbackoff [process ID: 397],Deployment error
syntax error in file [process ID: 110],Build failure
deployed successfully [process ID: 187],Success
Jest failed with 1 failing test [process ID: 575],Test failure
AWS credential invalid [process ID: 237],Deployment error
cannot compile module [process ID: 735],Build failure
CORS policy violation [process ID: 372],Security issue
all tests passed [process ID: 688],Success
failed to pull docker image [process ID: 877],Deployment error
gitleaks: secret detected [process ID: 851],Security issue
env variable missing [process ID: 383],Configuration error
dockerfile build error [process ID: 486],Configuration error
deployed successfully [process ID: 470],Success
vulnerability found in package [process ID: 179],Security issue
cannot compile module [process ID: 371],Build failure
build successful [process ID: 654],Success
timeout waiting for service [process ID: 803],Deployment error
Test suite failed [process ID: 470],Test failure
deployed successfully [process ID: 889],Success
AssertionError: expected 5 to equal 4 [process ID: 198],Test failure
gitleaks: secret detected [process ID: 841],Security issue
Test suite failed [process ID: 404],Test failure
ModuleNotFoundError [process ID: 476],Dependency issue
ModuleNotFoundError [process ID: 596],Dependency issue
0 vulnerabilities [process ID: 634],Success
failed to pull docker image [process ID: 463],Deployment error
all tests passed [process ID: 859],Success
all tests passed [process ID: 204],Success
dockerfile build error [process ID: 599],Configuration error
dockerfile build error [process ID: 569],Configuration error
vulnerability found in package [process ID: 679],Security issue
Expected true but got false [process ID: 918],Test failure
Test suite failed [process ID: 610],Test failure
ModuleNotFoundError [process ID: 883],Dependency issue
ModuleNotFoundError [process ID: 515],Dependency issue
0 vulnerabilities [process ID: 988],Success
invalid configuration file [process ID: 177],Configuration error
version conflict for package [process ID: 708],Dependency issue
Test suite failed [process ID: 581],Test failure
deployed successfully [process ID: 768],Success
CORS policy violation [process ID: 713],Security issue
timeout waiting for service [process ID: 700],Deployment error
dockerfile build error [process ID: 580],Configuration error
ModuleNotFoundError [process ID: 879],Dependency issue
npm ERR! missing dependency [process ID: 821],Dependency issue
fatal error: file not found [process ID: 323],Build failure
ModuleNotFoundError [process ID: 278],Dependency issue
failed to pull docker image [process ID: 960],Deployment error
gitleaks: secret detected [process ID: 291],Security issue
0 vulnerabilities [process ID: 387],Success
dockerfile build error [process ID: 276],Configuration error
pip install failed [process ID: 737],Dependency issue
Test suite failed [process ID: 984],Test failure
failed to pull docker image [process ID: 702],Deployment error
dockerfile build error [process ID: 455],Configuration error
invalid configuration file [process ID: 934],Configuration error
deployed successfully [process ID: 160],Success
CORS policy violation [process ID: 635],Security issue
fatal error: file not found [process ID: 466],Build failure
YAML syntax error [process ID: 496],Configuration error
version conflict for package [process ID: 470],Dependency issue
0 vulnerabilities [process ID: 205],Success
YAML syntax error [process ID: 761],Configuration error
syntax error in file [process ID: 327],Build failure
syntax error in file [process ID: 690],Build failure
ModuleNotFoundError [process ID: 715],Dependency issue
make: *** [all] Error 2 [process ID: 461],Build failure
YAML syntax error [process ID: 539],Configuration error
Expected true but got false [process ID: 107],Test failure
gitleaks: secret detected [process ID: 136],Security issue
AWS credential invalid [process ID: 366],Deployment error
version conflict for package [process ID: 552],Dependency issue
dockerfile build error [process ID: 240],Configuration error
AWS credential invalid [process ID: 481],Deployment error
Jest failed with 1 failing test [process ID: 705],Test failure
AWS credential invalid [process ID: 361],Deployment error
cannot compile module [process ID: 191],Build failure
npm ERR! missing dependency [process ID: 379],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 787],Test failure
make: *** [all] Error 2 [process ID: 275],Build failure
fatal error: file not found [process ID: 763],Build failure
Expected true but got false [process ID: 345],Test failure
pip install failed [process ID: 220],Dependency issue
dockerfile build error [process ID: 859],Configuration error
failed to pull docker image [process ID: 418],Deployment error
fatal error: file not found [process ID: 685],Build failure
vulnerability found in package [process ID: 929],Security issue
timeout waiting for service [process ID: 779],Deployment error
CORS policy violation [process ID: 922],Security issue
timeout waiting for service [process ID: 883],Deployment error
unauthorized access token [process ID: 594],Security issue
version conflict for package [process ID: 162],Dependency issue
Jest failed with 1 failing test [process ID: 979],Test failure
invalid configuration file [process ID: 513],Configuration error
YAML syntax error [process ID: 633],Configuration error
CORS policy violation [process ID: 732],Security issue
all tests passed [process ID: 823],Success
0 vulnerabilities [process ID: 736],Success
build successful [process ID: 728],Success
CORS policy violation [process ID: 761],Security issue
invalid configuration file [process ID: 878],Configuration error
npm ERR! missing dependency [process ID: 295],Dependency issue
invalid configuration file [process ID: 961],Configuration error
failed to pull docker image [process ID: 436],Deployment error
unauthorized access token [process ID: 805],Security issue
pip install failed [process ID: 950],Dependency issue
env variable missing [process ID: 320],Configuration error
pip install failed [process ID: 592],Dependency issue
syntax error in file [process ID: 272],Build failure
Expected true but got false [process ID: 986],Test failure
Jest failed with 1 failing test [process ID: 639],Test failure
AWS credential invalid [process ID: 970],Deployment error
YAML syntax error [process ID: 354],Configuration error
all tests passed [process ID: 856],Success
invalid configuration file [process ID: 237],Configuration error
syntax error in file [process ID: 754],Build failure
unauthorized access token [process ID: 678],Security issue
unauthorized access token [process ID: 472],Security issue
gitleaks: secret detected [process ID: 718],Security issue
0 vulnerabilities [process ID: 992],Success
Jest failed with 1 failing test [process ID: 620],Test failure
syntax error in file [process ID: 536],Build failure
CORS policy violation [process ID: 646],Security issue
failed to pull docker image [process ID: 429],Deployment error
YAML syntax error [process ID: 472],Configuration error
deployed successfully [process ID: 994],Success
build successful [process ID: 714],Success
env variable missing [process ID: 313],Configuration error
Test suite failed [process ID: 854],Test failure
Kubernetes pod crashloopbackoff [process ID: 285],Deployment error
failed to pull docker image [process ID: 697],Deployment error
Test suite failed [process ID: 142],Test failure
fatal error: file not found [process ID: 109],Build failure
timeout waiting for service [process ID: 408],Deployment error
YAML syntax error [process ID: 844],Configuration error
failed to pull docker image [process ID: 484],Deployment error
unauthorized access token [process ID: 410],Security issue
dockerfile build error [process ID: 458],Configuration error
Test suite failed [process ID: 414],Test failure
all tests passed [process ID: 360],Success
all tests passed [process ID: 669],Success
invalid configuration file [process ID: 645],Configuration error
Kubernetes pod crashloopbackoff [process ID: 759],Deployment error
build successful [process ID: 897],Success
invalid configuration file [process ID: 700],Configuration error
AssertionError: expected 5 to equal 4 [process ID: 584],Test failure
ModuleNotFoundError [process ID: 451],Dependency issue
npm ERR! missing dependency [process ID: 705],Dependency issue
make: *** [all] Error 2 [process ID: 717],Build failure
failed to pull docker image [process ID: 972],Deployment error
pip install failed [process ID: 734],Dependency issue
invalid configuration file [process ID: 930],Configuration error
syntax error in file [process ID: 790],Build failure
Expected true but got false [process ID: 891],Test failure
pip install failed [process ID: 998],Dependency issue
version conflict for package [process ID: 768],Dependency issue
unauthorized access token [process ID: 671],Security issue
vulnerability found in package [process ID: 674],Security issue
pip install failed [process ID: 115],Dependency issue
0 vulnerabilities [process ID: 377],Success
